Tipo de Cultivo,Región,Rendimiento (Ton/Ha),Uso de Fertilizante (kg/Ha),Uso de Agua (L/Ha),Uso de Tecnología,Certificación Orgánica,Costo de Producción (USD/Ha),Precio de Mercado (USD/Ton),Margen de Beneficio (USD)
Soja,Oeste,11.943325471047237,103.79701719442458,1514.0014129356407,0,1,4564.1797640448185,79.46272663056452,-3615.1305570791337
Arroz,Norte,6.953086486765641,88.12454736046081,4244.8167069440115,0,1,3277.686704437814,188.06452827677742,-1970.0577742365983
Caña de Azúcar,Oeste,10.417326751011888,94.29358826284081,4282.557902975821,0,1,4912.0822629157,21.356185364133452,-4689.6079018223445
Arroz,Sur,10.35441329259221,98.38261463579008,3503.758680406291,0,1,3236.3953229384833,60.55990358825508,-2609.333052226152
Arroz,Norte,6.751749736497459,177.30046923870117,4281.707375085072,1,0,3364.8994473002717,85.76422754133037,-2785.840846597186
Trigo,Centro,7.475454208251836,70.49319971630432,3605.939087431152,1,0,2996.6702384400155,107.80576414557282,-2190.773185184188
Caña de Azúcar,Este,10.693235445057411,156.3366495365178,1826.7374395069814,0,0,909.5094097309862,173.14715321050633,941.9938661903863
Caña de Azúcar,Oeste,11.525330369233481,132.92299653618616,2095.844509284535,0,0,3768.786646926027,35.8197724172259,-3355.951936066742
Caña de Azúcar,Este,6.497201672558473,94.47652154716977,1858.3564788334966,1,1,2963.508381046002,165.05567961340583,-1891.108343396506
Arroz,Este,6.021270949863216,112.96712846694147,2509.0363329119036,0,0,2529.09701337247,30.017628084255563,-2348.3527414049436
Soja,Norte,9.457817090287516,88.43104153916872,1155.8525292409345,0,1,4597.120752814729,171.6165263536727,-2974.0030368911853
Caña de Azúcar,Este,11.310549501714766,141.7270566298521,3473.0155373515713,1,0,1840.8175319387772,29.29438601741231,-1509.4819287664943
Arroz,Centro,6.034110439534556,62.239127060036054,2346.216859554906,0,1,2856.2102420675506,23.28364665710499,-2715.7141467034794
Trigo,Este,3.7849669970533264,50.77772941609802,3622.8905415229688,1,1,3639.388421720585,145.45306322595587,-3088.853377790031
Soja,Norte,12.40786936076274,144.18416224229543,2541.58648386226,0,0,4084.1229905324476,199.50599625831097,-1608.6786522705052
Trigo,Centro,6.763398029236305,79.14109302680633,3726.454675891159,1,0,2567.060635757776,181.38984733532374,-1340.248899766573
